x,y,z_true,z_smooth
-2,-2,-0.9513631281258474,-1.0383459354851168
-2,-1.8333333333333333,-0.9096083611898426,-0.9618081330587579
-2,-1.6666666666666667,-0.8586449894341349,-0.8912432270001006
-2,-1.5,-0.8011436155469337,-0.8170997288387986
-2,-1.3333333333333335,-0.7398884481811925,-0.7511322302963789
-2,-1.1666666666666665,-0.6776858134882473,-0.6985598540942358
-2,-1,-0.6172728764571667,-0.6400279082618242
-2,-0.8333333333333333,-0.5612293127757414,-0.5866609538112316
-2,-0.6666666666666667,-0.5118945753122262,-0.5510479028197586
-2,-0.5,-0.4712932259118798,-0.5160305899146801
-2,-0.33333333333333326,-0.4410705581307252,-0.4858651405762008
-2,-0.16666666666666674,-0.4224404269606366,-0.47221163702140423
-2,0,-0.4161468365471424,-0.46901784898288323
-2,0.16666666666666652,-0.4224404269606366,-0.4721961615521527
-2,0.3333333333333335,-0.4410705581307256,-0.48577037644293813
-2,0.5,-0.4712932259118798,-0.5158553883211466
-2,0.6666666666666665,-0.5118945753122262,-0.5508990274353146
-2,0.8333333333333335,-0.5612293127757414,-0.5865866214709536
-2,1,-0.6172728764571667,-0.6398893112494332
-2,1.1666666666666665,-0.6776858134882473,-0.7003242924766577
-2,1.3333333333333335,-0.7398884481811925,-0.7572230937795191
-2,1.5,-0.8011436155469337,-0.827278355360866
-2,1.6666666666666665,-0.8586449894341347,-0.905923691898932
-2,1.8333333333333335,-0.9096083611898426,-0.9823966113185674
-2,2,-0.9513631281258474,-1.0640955936925436
-1.8333333333333333,-2,-0.9096083611898426,-0.9612414920132647
-1.8333333333333333,-1.8333333333333333,-0.853115767612191,-0.8772409887801453
-1.8333333333333333,-1.6666666666666667,-0.7875861211768984,-0.7974141654890409
-1.8333333333333333,-1.5,-0.7159487285832418,-0.7160892760321865
-1.8333333333333333,-1.3333333333333335,-0.6412417470186269,-0.641319776257284
-1.8333333333333333,-1.1666666666666665,-0.5665154696014444,-0.5765308189710378
-1.8333333333333333,-1,-0.49473599814481595,-0.5091082035041892
-1.8333333333333333,-0.8333333333333333,-0.4286921557449603,-0.44717109991311477
-1.8333333333333333,-0.6666666666666667,-0.3709083889947646,-0.4003339513672641
-1.8333333333333333,-0.5,-0.32356622768613696,-0.3582254668669871
-1.8333333333333333,-0.33333333333333326,-0.2884366140089744,-0.32438791191491895
-1.8333333333333333,-0.16666666666666674,-0.2668250908970347,-0.30680067412557444
-1.8333333333333333,0,-0.25953145961883317,-0.30174814566712316
-1.8333333333333333,0.16666666666666652,-0.2668250908970347,-0.30681172963399744
-1.8333333333333333,0.3333333333333335,-0.2884366140089744,-0.32445111472964777
-1.8333333333333333,0.5,-0.32356622768613696,-0.35826812153577
-1.8333333333333333,0.6666666666666665,-0.3709083889947644,-0.40036469434510663
-1.8333333333333333,0.8333333333333335,-0.4286921557449603,-0.44725023306618317
-1.8333333333333333,1,-0.49473599814481595,-0.5091377417043699
-1.8333333333333333,1.1666666666666665,-0.5665154696014444,-0.5779428895004125
-1.8333333333333333,1.3333333333333335,-0.6412417470186269,-0.6459521312609524
-1.8333333333333333,1.5,-0.7159487285832418,-0.7239346493402026
-1.8333333333333333,1.6666666666666665,-0.7875861211768981,-0.8088627695899809
-1.8333333333333333,1.8333333333333335,-0.853115767612191,-0.8933364718595297
-1.8333333333333333,2,-0.9096083611898426,-0.9815664194991953
-1.6666666666666667,-2,-0.8586449894341349,-0.8900352195774428
-1.6666666666666667,-1.8333333333333333,-0.7875861211768984,-0.7969018338092536
-1.6666666666666667,-1.6666666666666667,-0.7076921035197548,-0.7067478449554293
-1.6666666666666667,-1.5,-0.6221409373829588,-0.6162807691123167
-1.6666666666666667,-1.3333333333333335,-0.5342146243131501,-0.5315914337017286
-1.6666666666666667,-1.1666666666666665,-0.4471974958811053,-0.4549879127340223
-1.6666666666666667,-1,-0.36427510173852784,-0.3775035921883618
-1.6666666666666667,-0.8333333333333333,-0.2884366140089744,-0.3059442457509325
-1.6666666666666667,-0.6666666666666667,-0.22238359722242435,-0.2487442475637062
-1.6666666666666667,-0.5,-0.16844780301459422,-0.19937988428952713
-1.6666666666666667,-0.33333333333333326,-0.1285203827975119,-0.1611105274475446
-1.6666666666666667,-0.16666666666666674,-0.10399457721554733,-0.13991022519631768
-1.6666666666666667,0,-0.09572354801437566,-0.1333272791578055
-1.6666666666666667,0.16666666666666652,-0.10399457721554733,-0.13996080287326143
-1.6666666666666667,0.3333333333333335,-0.1285203827975119,-0.1614181133911789
